Month,Year AD,Year BS,No of tourist
April,2011,2068,13300
April,2012,2069,15601
April,2013,2070,19101
April,2014,2071,8592
August,2011,2068,9360
August,2012,2069,9481
August,2013,2070,9993
August,2014,2071,12705
December,2011,2068,8693
December,2012,2069,9814
December,2013,2070,13963
December,2014,2071,15066
February,2011,2068,11048
February,2012,2069,10901
February,2013,2070,9778
February,2014,2071,17178
January,2011,2068,9225
January,2012,2069,9035
January,2013,2070,10298
January,2014,2071,10266
July,2011,2068,11264
July,2012,2069,7887
July,2013,2070,5043
July,2014,2071,5590
June,2011,2068,4948
June,2012,2069,5944
June,2013,2070,5973
June,2014,2071,8444
March,2011,2068,13499
March,2012,2069,14753
March,2013,2070,14369
March,2014,2071,12556
May,2011,2068,5966
May,2012,2069,10087
May,2013,2070,12855
May,2014,2071,14758
November,2011,2068,13562
November,2012,2069,14494
November,2013,2070,24881
November,2014,2071,28428
October,2011,2068,25565
October,2012,2069,18202
October,2013,2070,21473
October,2014,2071,21997
September,2011,2068,17457
September,2012,2069,13686
September,2013,2070,9131
September,2014,2071,10593
