Month,Year,No of tourist
January,2011,"9,225"
January,2012,"9,035"
January,2013,10298
February,2011,"11,048"
February,2012,"10,901"
February,2013,9778
March,2011,"13,499"
March,2012,"14,753"
March,2013,14369
April,2011,"13,300"
April,2012,"15,601"
April,2013,19101
May,2011,"5,966"
May,2012,"10,087"
May,2013,12855
June,2011,"4,948"
June,2012,"5,944"
June,2013,5973
July,2011,"11,264"
July,2012,"7,887"
July,2013,5043
August,2011,"9,360"
August,2012,"9,481"
August,2013,9993
September,2011,"17,457"
September,2012,"13,686"
September,2013,9131
October,2011,"25,565"
October,2012,"18,202"
October,2013,21473
November,2011,"13,562"
November,2012,"14,494"
November,2013,24881
December,2011,"8,693"
December,2012,"9,814"
December,2013,13963
