National Park,Year,No of tourist
Bardiya National Park,2008,2790
Bardiya National Park,2009,3087
Bardiya National Park,2010,3727
Bardiya National Park,2011,4765
Bardiya National Park,2012,5760
Bardiya National Park,2013,12974
Chitwan National Park,2008,82723
Chitwan National Park,2009,78682
Chitwan National Park,2010,84518
Chitwan National Park,2011,122332
Chitwan National Park,2012,126484
Chitwan National Park,2013,153776
Dhorpatan Hunting Reserve,2008,55
Dhorpatan Hunting Reserve,2009,21
Dhorpatan Hunting Reserve,2010,26
Dhorpatan Hunting Reserve,2011,28
Dhorpatan Hunting Reserve,2012,47
Dhorpatan Hunting Reserve,2013,88
Khaptad National Park,2008,59
Khaptad National Park,2009,2
Khaptad National Park,2010,12
Khaptad National Park,2011,22
Khaptad National Park,2012,6
Khaptad National Park,2013,19
Koshi Tappu Wildlife Reserve,2008,238
Koshi Tappu Wildlife Reserve,2009,231
Koshi Tappu Wildlife Reserve,2010,456
Koshi Tappu Wildlife Reserve,2011,181
Koshi Tappu Wildlife Reserve,2012,441
Koshi Tappu Wildlife Reserve,2013,4446
Langtang National Park,2008,9533
Langtang National Park,2009,10535
Langtang National Park,2010,10315
Langtang National Park,2011,13838
Langtang National Park,2012,12649
Langtang National Park,2013,13370
Makalu Barun National Park,2008,1371
Makalu Barun National Park,2009,1828
Makalu Barun National Park,2010,1323
Makalu Barun National Park,2011,1501
Makalu Barun National Park,2012,1520
Makalu Barun National Park,2013,1523
Parsa Wildlife Reserve,2008,-
Parsa Wildlife Reserve,2009,49
Parsa Wildlife Reserve,2010,-
Parsa Wildlife Reserve,2011,14
Parsa Wildlife Reserve,2012,48
Parsa Wildlife Reserve,2013,192
Rara National Park,2008,104
Rara National Park,2009,146
Rara National Park,2010,135
Rara National Park,2011,174
Rara National Park,2012,49
Rara National Park,2013,164
Sagarmatha National Park,2008,31201
Sagarmatha National Park,2009,29036
Sagarmatha National Park,2010,32084
Sagarmatha National Park,2011,34645
Sagarmatha National Park,2012,36518
Sagarmatha National Park,2013,36750
Shey Phoksundo National Park,2008,678
Shey Phoksundo National Park,2009,325
Shey Phoksundo National Park,2010,558
Shey Phoksundo National Park,2011,512
Shey Phoksundo National Park,2012,679
Shey Phoksundo National Park,2013,620
Shivapuri National Park,2008,8344
Shivapuri National Park,2009,11178
Shivapuri National Park,2010,11798
Shivapuri National Park,2011,15921
Shivapuri National Park,2012,82935
Shivapuri National Park,2013,165904
Shukla Phata Wildlife Reserve,2008,59
Shukla Phata Wildlife Reserve,2009,161
Shukla Phata Wildlife Reserve,2010,115
Shukla Phata Wildlife Reserve,2011,190
Shukla Phata Wildlife Reserve,2012,144
Shukla Phata Wildlife Reserve,2013,471
