Year AD,Year BS,Age group,No of tourist,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2001,2058,0-15 years,14608,,,,,,,,,,
2001,2058,16-30 years,95801,,,,,,,,,,
2001,2058,31-45 years,115678,,,,790118.0,50441.0,185685.0,235738.0,183582.0,106666.0,28007.0
2001,2058,46-60 years,93621,,,,,,,,,,
2001,2058,61 and over,41529,,,,,,,,,,
2001,2058,Not specified,0,,,,,,,,,,
2002,2059,0-15 years,12425,,,,,,,,,,
2002,2059,16-30 years,67774,,,,,,,,,,
2002,2059,31-45 years,99622,,,,,,,,,,
2002,2059,46-60 years,67017,,,,,,,,,,
2002,2059,61 and over,28630,,,,,,,,,,
2002,2059,Not specified,0,,,,,,,,,,
2003,2060,0-15 years,16056,,,,,,,,,,
2003,2060,16-30 years,78357,,,,,,,,,,
2003,2060,31-45 years,99740,,,,,,,,,,
2003,2060,46-60 years,85753,,,,,,,,,,
2003,2060,61 and over,58226,,,,,,,,,,
2003,2060,Not specified,0,,,,,,,,,,
2004,2061,0-15 years,38734,,,,,,,,,,
2004,2061,16-30 years,84125,,,,,,,,,,
2004,2061,31-45 years,128267,,,,,,,,,,
2004,2061,46-60 years,96920,,,,,,,,,,
2004,2061,61 and over,37251,,,,,,,,,,
2004,2061,Not specified,0,,,,,,,,,,
2005,2062,0-15 years,30429,,,,,,,,,,
2005,2062,16-30 years,57115,,,,,,,,,,
2005,2062,31-45 years,114103,,,,,,,,,,
2005,2062,46-60 years,106077,,,,,,,,,,
2005,2062,61 and over,67674,,,,,,,,,,
2005,2062,Not specified,0,,,,,,,,,,
2006,2063,0-15 years,37433,,,,,,,,,,
2006,2063,16-30 years,75626,,,,,,,,,,
2006,2063,31-45 years,123541,,,,,,,,,,
2006,2063,46-60 years,95260,,,,,,,,,,
2006,2063,61 and over,52066,,,,,,,,,,
2006,2063,Not specified,0,,,,,,,,,,
2007,2064,0-15 years,38870,,,,,,,,,,
2007,2064,16-30 years,112879,,,,,,,,,,
2007,2064,31-45 years,164488,,,,,,,,,,
2007,2064,46-60 years,130756,,,,,,,,,,
2007,2064,61 and over,69927,,,,,,,,,,
2007,2064,Not specified,9785,,,,,,,,,,
2008,2065,0-15 years,42581,,,,,,,,,,
2008,2065,16-30 years,106596,,,,,,,,,,
2008,2065,31-45 years,150171,,,,,,,,,,
2008,2065,46-60 years,121387,,,,,,,,,,
2008,2065,61 and over,60531,,,,,,,,,,
2008,2065,Not specified,19011,,,,,,,,,,
2009,2066,0-15 years,84891,,,,,,,,,,
2009,2066,16-30 years,140805,,,,,,,,,,
2009,2066,31-45 years,141955,,,,,,,,,,
2009,2066,46-60 years,99197,,,,,,,,,,
2009,2066,61 and over,39638,,,,,,,,,,
2009,2066,Not specified,3470,,,,,,,,,,
2010,2067,0-15 years,41156,,,,,,,,,,
2010,2067,16-30 years,120395,,,,,,,,,,
2010,2067,31-45 years,189852,,,,,,,,,,
2010,2067,46-60 years,172800,,,,,,,,,,
2010,2067,61 and over,64593,,,,,,,,,,
2010,2067,Not specified,14071,,,,,,,,,,
2011,2068,0-15 years,32795,,,,,,,,,,
2011,2068,16-30 years,171081,,,,,,,,,,
2011,2068,31-45 years,212176,,,,,,,,,,
2011,2068,46-60 years,177983,,,,,,,,,,
2011,2068,61 and over,82726,,,,,,,,,,
2011,2068,Not specified,59454,,,,,,,,,,
2012,2069,0-15 years,35468,,,,,,,,,,
2012,2069,16-30 years,181558,,,,,,,,,,
2012,2069,31-45 years,231117,,,,,,,,,,
2012,2069,46-60 years,201835,,,,,,,,,,
2012,2069,61 and over,109239,,,,,,,,,,
2012,2069,Not specified,43875,,,,,,,,,,
2013,2070,0-15 years,46262,,,,,,,,,,
2013,2070,16-30 years,190630,,,,,,,,,,
2013,2070,31-45 years,237690,,,,,,,,,,
2013,2070,46-60 years,195416,,,,,,,,,,
2013,2070,61 and over,115654,,,,,,,,,,
2013,2070,Not specified,11964,,,,,,,,,,
2014,2071,0-15 years,50441,,,,,,,,,,
2014,2071,16-30 years,185685,,,,,,,,,,
2014,2071,31-45 years,235738,,,,,,,,,,
2014,2071,46-60 years,183582,,,,,,,,,,
2014,2071,61 and over,106666,,,,,,,,,,
2014,2071,Not specified,28007,,,,,,,,,,
