Year,Age group,No of tourist
2001,0-15 years,14608
2001,16-30 years,95801
2001,31-45 years,115678
2001,46-60 years,93621
2001,61 and over,41529
2001,Not specified,0
2002,0-15 years,12425
2002,16-30 years,67774
2002,31-45 years,99622
2002,46-60 years,67017
2002,61 and over,28630
2002,Not specified,0
2003,0-15 years,16056
2003,16-30 years,"78,357"
2003,31-45 years,"99,740"
2003,46-60 years,"85,753"
2003,61 and over,"58,226"
2003,Not specified,0
2004,0-15 years,"38,734"
2004,16-30 years,84125
2004,31-45 years,"128,267"
2004,46-60 years,"96,920"
2004,61 and over,"37,251"
2004,Not specified,0
2005,0-15 years,"30,429"
2005,16-30 years,"57,115"
2005,31-45 years,"114,103"
2005,46-60 years,"106,077"
2005,61 and over,"67,674"
2005,Not specified,0
2006,0-15 years,"37,433"
2006,16-30 years,"75,626"
2006,31-45 years,"123,541"
2006,46-60 years,"95,260"
2006,61 and over,"52,066"
2006,Not specified,0
2007,0-15 years,"38,870"
2007,16-30 years,"112,879"
2007,31-45 years,"164,488"
2007,46-60 years,"130,756"
2007,61 and over,"69,927"
2007,Not specified,"9,785"
2008,0-15 years,"42,581"
2008,16-30 years,"106,596"
2008,31-45 years,"150,171"
2008,46-60 years,"121,387"
2008,61 and over,"60,531"
2008,Not specified,"19,011"
2009,0-15 years,"84,891"
2009,16-30 years,"140,805"
2009,31-45 years,"141,955"
2009,46-60 years,"99,197"
2009,61 and over,"39,638"
2009,Not specified,"3,470"
2010,0-15 years,"41,156"
2010,16-30 years,"120,395"
2010,31-45 years,"189,852"
2010,46-60 years,"172,800"
2010,61 and over,"64,593"
2010,Not specified,"14,071"
2011,0-15 years,"32,795"
2011,16-30 years,"171,081"
2011,31-45 years,"212,176"
2011,46-60 years,"177,983"
2011,61 and over,"82,726"
2011,Not specified,"59,454"
2012,0-15 years,"35,468"
2012,16-30 years,"181,558"
2012,31-45 years,"231,117"
2012,46-60 years,"201,835"
2012,61 and over,"109,239"
2012,Not specified,"43,875"
2013,0-15 years,46262
2013,16-30 years,190630
2013,31-45 years,237690
2013,46-60 years,195416
2013,61 and over,115654
2013,Not specified,11964
