Year,Month,Number of tourist
2001,Jan.,"30,454"
2001,Feb.,"38,680"
2001,Mar.,"46,709"
2001,Apr.,"39,083"
2001,May,"28,345"
2001,Jun.,"13,030"
2001,Jul.,"18,329"
2001,Aug.,"25,322"
2001,Sep.,"31,170"
2001,Oct.,"41,245"
2001,Nov.,"30,282"
2001,Dec.,"18,588"
2002,Jan.,"17,176"
2002,Feb.,"20,668"
2002,Mar.,"28,815"
2002,Apr.,"21,253"
2002,May,"19,887"
2002,Jun.,"17,218"
2002,Jul.,"16,621"
2002,Aug.,"21,093"
2002,Sep.,"23,752"
2002,Oct.,"35,272"
2002,Nov.,"28,723"
2002,Dec.,"24,990"
2003,Jan.,"21,215"
2003,Feb.,"24,349"
2003,Mar.,"27,737"
2003,Apr.,"25,851"
2003,May,"22,704"
2003,Jun.,"20,351"
2003,Jul.,"22,661"
2003,Aug.,"27,568"
2003,Sep.,"28,724"
2003,Oct.,"45,459"
2003,Nov.,"38,398"
2003,Dec.,"33,115"
2004,Jan.,"30,988"
2004,Feb.,"35,631"
2004,Mar.,"44,290"
2004,Apr.,"33,514"
2004,May,"26,802"
2004,Jun.,"19,793"
2004,Jul.,"24,860"
2004,Aug.,"33,162"
2004,Sep.,"25,496"
2004,Oct.,"43,373"
2004,Nov.,"36,381"
2004,Dec.,"31,007"
2005,Jan.,"25,477"
2005,Feb.,"20,338"
2005,Mar.,"29,875"
2005,Apr.,"23,414"
2005,May,"25,541"
2005,Jun.,"22,608"
2005,Jul.,"23,996"
2005,Aug.,"36,910"
2005,Sep.,"36,066"
2005,Oct.,"51,498"
2005,Nov.,"41,505"
2005,Dec.,"38,170"
2006,Jan.,"28,769"
2006,Feb.,"25,728"
2006,Mar.,"36,873"
2006,Apr.,"21,983"
2006,May,"22,870"
2006,Jun.,"26,210"
2006,Jul.,"25,183"
2006,Aug.,"33,150"
2006,Sep.,"33,362"
2006,Oct.,"49,670"
2006,Nov.,"44,119"
2006,Dec.,"36,009"
2007,Jan.,"33,192"
2007,Feb.,"39,934"
2007,Mar.,"54,722"
2007,Apr.,"40,942"
2007,May,"35,854"
2007,Jun.,"31,316"
2007,Jul.,"35,437"
2007,Aug.,"44,683"
2007,Sep.,"45,552"
2007,Oct.,"70,644"
2007,Nov.,"52,273"
2007,Dec.,"42,156"
2008,Jan.,"36,913"
2008,Feb.,"46,675"
2008,Mar.,"58,735"
2008,Apr.,"38,475"
2008,May,"30,410"
2008,Jun.,"24,349"
2008,Jul.,"25,427"
2008,Aug.,"40,011"
2008,Sep.,"41,622"
2008,Oct.,"66,421"
2008,Nov.,"52,399"
2008,Dec.,"38,840"
2009,Jan.,"29,278"
2009,Feb.,"40,617"
2009,Mar.,"49,567"
2009,Apr.,"43,337"
2009,May,"30,037"
2009,Jun.,"31,749"
2009,Jul.,"30,432"
2009,Aug.,"44,174"
2009,Sep.,"42,771"
2009,Oct.,"72,522"
2009,Nov.,"54,423"
2009,Dec.,"41,049"
2010,Jan.,"33,645"
2010,Feb.,"49,264"
2010,Mar.,"63,058"
2010,Apr.,"45,509"
2010,May,"32,542"
2010,Jun.,"33,263"
2010,Jul.,"38,991"
2010,Aug.,"54,672"
2010,Sep.,"54,848"
2010,Oct.,"79,130"
2010,Nov.,"67,537"
2010,Dec.,"50,408"
2011,Jan.,"42,622"
2011,Feb.,"56,339"
2011,Mar.,"67,565"
2011,Apr.,"59,751"
2011,May,"46,202"
2011,Jun.,"46,115"
2011,Jul.,"42,661"
2011,Aug.,"71,398"
2011,Sep.,"63,033"
2011,Oct.,"96,996"
2011,Nov.,"83,460"
2011,Dec.,"60,073"
2012,Jan.,"52,501"
2012,Feb.,"66,459"
2012,Mar.,"89,151"
2012,Apr.,"69,796"
2012,May,"50,317"
2012,Jun.,"53,630"
2012,Jul.,"49,995"
2012,Aug.,"71,964"
2012,Sep.,"66,383"
2012,Oct.,"86,379"
2012,Nov.,"83,173"
2012,Dec.,"63,344"
2013,Jan.,"47,846"
2013,Feb.,"67,264"
2013,Mar.,"88,697"
2013,Apr.,"65,152"
2013,May,"52,834"
2013,Jun.,"54,599"
2013,Jul.,"54,011"
2013,Aug.,"68,478"
2013,Sep.,"66,755"
2013,Oct.,"99,426"
2013,Nov.,"75,485"
2013,Dec.,"57,069"
