Year AD,Year BS,Purpose of visit,No of tourists
2000,2057,Holiday Pleasure,255889
2000,2057,Trekking & Mountaineering,118780
2000,2057,Business,29454
2000,2057,Pilgrimage,15801
2000,2057,Official,20832
2000,2057,Conv./ Conf.,5599
2000,2057,Others,17291
2000,2057,Not Specified,-
2001,2058,Holiday Pleasure,187022
2001,2058,Trekking & Mountaineering,100828
2001,2058,Business,18528
2001,2058,Pilgrimage,13816
2001,2058,Official,18727
2001,2058,Conv./ Conf.,0
2001,2058,Others,22316
2001,2058,Not Specified,-
2002,2059,Holiday Pleasure,110143
2002,2059,Trekking & Mountaineering,59279
2002,2059,Business,16990
2002,2059,Pilgrimage,12366
2002,2059,Official,17783
2002,2059,Conv./ Conf.,0
2002,2059,Others,58907
2002,2059,Not Specified,-
2003,2060,Holiday Pleasure,97904
2003,2060,Trekking & Mountaineering,65721
2003,2060,Business,19387
2003,2060,Pilgrimage,21395
2003,2060,Official,21967
2003,2060,Conv./ Conf.,0
2003,2060,Others,111758
2003,2060,Not Specified,-
2004,2061,Holiday Pleasure,167262
2004,2061,Trekking & Mountaineering,69442
2004,2061,Business,13948
2004,2061,Pilgrimage,45664
2004,2061,Official,17088
2004,2061,Conv./ Conf.,0
2004,2061,Others,71893
2004,2061,Not Specified,-
2005,2062,Holiday Pleasure,160259
2005,2062,Trekking & Mountaineering,61488
2005,2062,Business,21992
2005,2062,Pilgrimage,47621
2005,2062,Official,16859
2005,2062,Conv./ Conf.,0
2005,2062,Others,67179
2005,2062,Not Specified,-
2006,2063,Holiday Pleasure,145802
2006,2063,Trekking & Mountaineering,66931
2006,2063,Business,21066
2006,2063,Pilgrimage,59298
2006,2063,Official,18063
2006,2063,Conv./ Conf.,0
2006,2063,Others,72766
2006,2063,Not Specified,-
2007,2064,Holiday Pleasure,217815
2007,2064,Trekking & Mountaineering,101320
2007,2064,Business,24487
2007,2064,Pilgrimage,52594
2007,2064,Official,21670
2007,2064,Conv./ Conf.,8019
2007,2064,Others,78644
2007,2064,Not Specified,22156
2008,2065,Holiday Pleasure,148180
2008,2065,Trekking & Mountaineering,104822
2008,2065,Business,23039
2008,2065,Pilgrimage,45091
2008,2065,Official,43044
2008,2065,Conv./ Conf.,6938
2008,2065,Others,99634
2008,2065,Not Specified,29529
2009,2066,Holiday Pleasure,140992
2009,2066,Trekking & Mountaineering,132929
2009,2066,Business,22758
2009,2066,Pilgrimage,51542
2009,2066,Official,24518
2009,2066,Conv./ Conf.,9985
2009,2066,Others,87134
2009,2066,Not Specified,40098
2010,2067,Holiday Pleasure,263938
2010,2067,Trekking & Mountaineering,70218
2010,2067,Business,21377
2010,2067,Pilgrimage,101335
2010,2067,Official,26374
2010,2067,Conv./ Conf.,9627
2010,2067,Others,52347
2010,2067,Not Specified,57651
2011,2068,Holiday Pleasure,425721
2011,2068,Trekking & Mountaineering,86260
2011,2068,Business,17859
2011,2068,Pilgrimage,63783
2011,2068,Official,24054
2011,2068,Conv./ Conf.,10836
2011,2068,Others,37311
2011,2068,Not Specified,70391
2012,2069,Holiday Pleasure,379627
2012,2069,Trekking & Mountaineering,105015
2012,2069,Business,24785
2012,2069,Pilgrimage,109854
2012,2069,Official,30460
2012,2069,Conv./ Conf.,13646
2012,2069,Others,48540
2012,2069,Not Specified,91165
2013,2070,Holiday Pleasure,410934
2013,2070,Trekking & Mountaineering,102001
2013,2070,Business,28183
2013,2070,Pilgrimage,71610
2013,2070,Official,37386
2013,2070,Conv./ Conf.,15552
2013,2070,Others,54326
2013,2070,Not Specified,77263
2014,2071,Holiday Pleasure,395849
2014,2071,Trekking & Mountaineering,97185
2014,2071,Business,24494
2014,2071,Pilgrimage,98765
2014,2071,Official,32395
2014,2071,Conv./ Conf.,13432
2014,2071,Others,53728
2014,2071,Not Specified,74271
